fruit_label	fruit_name	fruit_subtype	mass	width	height	color_score
1	apple	granny_smith	192	8.4	7.3	0.55
1	apple	granny_smith	180	8.0	6.8	0.59
1	apple	granny_smith	176	7.4	7.2	0.60
2	mandarin	mandarin	86	6.2	4.7	0.80
2	mandarin	mandarin	84	6.0	4.6	0.79
2	mandarin	mandarin	80	5.8	4.3	0.77
2	mandarin	mandarin	80	5.9	4.3	0.81
2	mandarin	mandarin	76	5.8	4.0	0.81
1	apple	braeburn	178	7.1	7.8	0.92
1	apple	braeburn	172	7.4	7.0	0.89
1	apple	braeburn	166	6.9	7.3	0.93
1	apple	braeburn	172	7.1	7.6	0.92
1	apple	braeburn	154	7.0	7.1	0.88
1	apple	golden_delicious	164	7.3	7.7	0.70
1	apple	golden_delicious	152	7.6	7.3	0.69
1	apple	golden_delicious	156	7.7	7.1	0.69
1	apple	golden_delicious	156	7.6	7.5	0.67
1	apple	golden_delicious	168	7.5	7.6	0.73
1	apple	cripps_pink	162	7.5	7.1	0.83
1	apple	cripps_pink	162	7.4	7.2	0.85
1	apple	cripps_pink	160	7.5	7.5	0.86
1	apple	cripps_pink	156	7.4	7.4	0.84
1	apple	cripps_pink	140	7.3	7.1	0.87
1	apple	cripps_pink	170	7.6	7.9	0.88
3	orange	spanish_jumbo	342	9.0	9.4	0.75
3	orange	spanish_jumbo	356	9.2	9.2	0.75
3	orange	spanish_jumbo	362	9.6	9.2	0.74
3	orange	selected_seconds	204	7.5	9.2	0.77
3	orange	selected_seconds	140	6.7	7.1	0.72
3	orange	selected_seconds	160	7.0	7.4	0.81
3	orange	selected_seconds	158	7.1	7.5	0.79
3	orange	selected_seconds	210	7.8	8.0	0.82
3	orange	selected_seconds	164	7.2	7.0	0.80
3	orange	turkey_navel	190	7.5	8.1	0.74
3	orange	turkey_navel	142	7.6	7.8	0.75
3	orange	turkey_navel	150	7.1	7.9	0.75
3	orange	turkey_navel	160	7.1	7.6	0.76
3	orange	turkey_navel	154	7.3	7.3	0.79
3	orange	turkey_navel	158	7.2	7.8	0.77
3	orange	turkey_navel	148	6.8	7.4	0.75
3	orange	turkey_navel	154	7.1	7.5	0.78
3	orange	turkey_navel	180	7.6	8.2	0.79
3	orange	turkey_navel	154	7.2	7.2	0.80
4	banana	cavendish	120	4.0	21.0	0.92
4	banana	cavendish	125	4.1	20.5	0.91
4	banana	cavendish	130	4.2	21.5	0.93
4	banana	cavendish	115	4.0	20.0	0.90
4	banana	cavendish	140	4.4	22.0	0.95
4	banana	cavendish	135	4.3	21.8	0.94
4	banana	red	145	4.5	19.0	0.85
4	banana	red	150	4.6	19.5	0.86
4	banana	red	148	4.5	19.3	0.87
4	banana	plantain	200	5.0	25.0	0.78
4	banana	plantain	210	5.2	24.5	0.77
4	banana	plantain	220	5.1	26.0	0.79
4	banana	plantain	205	5.0	25.5	0.80
